source_file,text_file,word_count
Bridgecrest_Lending_Auto_Securitization_Trust_2026-1_2026-01-14_424H.htm,Bridgecrest_Lending_Auto_Securitization_Trust_2026-1_2026-01-14_424H.txt,151706
CARMAX_AUTO_FUNDING_LLC_2025-03-12_424H.htm,CARMAX_AUTO_FUNDING_LLC_2025-03-12_424H.txt,178827
CARMAX_AUTO_FUNDING_LLC_2025-04-21_424H.htm,CARMAX_AUTO_FUNDING_LLC_2025-04-21_424H.txt,117281
CARMAX_AUTO_FUNDING_LLC_2025-07-10_424H.htm,CARMAX_AUTO_FUNDING_LLC_2025-07-10_424H.txt,118287
CARMAX_AUTO_FUNDING_LLC_2025-09-09_424H.htm,CARMAX_AUTO_FUNDING_LLC_2025-09-09_424H.txt,173376
CARMAX_AUTO_FUNDING_LLC_2025-10-08_424H.htm,CARMAX_AUTO_FUNDING_LLC_2025-10-08_424H.txt,123892
CARMAX_AUTO_FUNDING_LLC_2026-01-14_424H.htm,CARMAX_AUTO_FUNDING_LLC_2026-01-14_424H.txt,124945
CARMAX_AUTO_FUNDING_LLC_2026-02-11_424H.htm,CARMAX_AUTO_FUNDING_LLC_2026-02-11_424H.txt,178447
CARMAX_AUTO_FUNDING_LLC_2026-04-15_424H.htm,CARMAX_AUTO_FUNDING_LLC_2026-04-15_424H.txt,132562
CARMAX_AUTO_FUNDING_LLC_2026-06-04_424H.htm,CARMAX_AUTO_FUNDING_LLC_2026-06-04_424H.txt,160481
CARMAX_AUTO_FUNDING_LLC_2026-07-08_424H.htm,CARMAX_AUTO_FUNDING_LLC_2026-07-08_424H.txt,132187
FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-03-11_424H.htm,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-03-11_424H.txt,103152
FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-06-13_424H.htm,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-06-13_424H.txt,104315
FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-09-12_424H.htm,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-09-12_424H.txt,107161
FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-11-14_424H.htm,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-11-14_424H.txt,107718
FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2025-03-13_424H.htm,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2025-03-13_424H.txt,105279
FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2025-09-18_424H.htm,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2025-09-18_424H.txt,107935
FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2025-11-13_424H.htm,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2025-11-13_424H.txt,98276
FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2026-03-12_424H.htm,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2026-03-12_424H.txt,106525
FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2026-06-11_424H.htm,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2026-06-11_424H.txt,107296
HARLEY-DAVIDSON_CUSTOMER_FUNDING_CORP__2024-05-08_424H.htm,HARLEY-DAVIDSON_CUSTOMER_FUNDING_CORP__2024-05-08_424H.txt,128312
HARLEY-DAVIDSON_CUSTOMER_FUNDING_CORP__2024-09-11_424H.htm,HARLEY-DAVIDSON_CUSTOMER_FUNDING_CORP__2024-09-11_424H.txt,131403
HARLEY-DAVIDSON_CUSTOMER_FUNDING_CORP__2025-05-14_424H.htm,HARLEY-DAVIDSON_CUSTOMER_FUNDING_CORP__2025-05-14_424H.txt,144782
HYUNDAI_ABS_FUNDING_LLC_2024-03-06_424H.htm,HYUNDAI_ABS_FUNDING_LLC_2024-03-06_424H.txt,165016
HYUNDAI_ABS_FUNDING_LLC_2024-07-11_424H.htm,HYUNDAI_ABS_FUNDING_LLC_2024-07-11_424H.txt,166260
HYUNDAI_ABS_FUNDING_LLC_2024-10-02_424H.htm,HYUNDAI_ABS_FUNDING_LLC_2024-10-02_424H.txt,172263
HYUNDAI_ABS_FUNDING_LLC_2025-02-27_424H.htm,HYUNDAI_ABS_FUNDING_LLC_2025-02-27_424H.txt,181393
HYUNDAI_ABS_FUNDING_LLC_2025-05-28_424H.htm,HYUNDAI_ABS_FUNDING_LLC_2025-05-28_424H.txt,186189
HYUNDAI_ABS_FUNDING_LLC_2025-09-04_424H.htm,HYUNDAI_ABS_FUNDING_LLC_2025-09-04_424H.txt,189188
HYUNDAI_ABS_FUNDING_LLC_2025-10-29_424H.htm,HYUNDAI_ABS_FUNDING_LLC_2025-10-29_424H.txt,193186
HYUNDAI_ABS_FUNDING_LLC_2026-02-04_424H.htm,HYUNDAI_ABS_FUNDING_LLC_2026-02-04_424H.txt,197909
HYUNDAI_ABS_FUNDING_LLC_2026-06-04_424H.htm,HYUNDAI_ABS_FUNDING_LLC_2026-06-04_424H.txt,187510
SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2024-08-07_424H.htm,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2024-08-07_424H.txt,173256
SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2024-09-11_424H.htm,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2024-09-11_424H.txt,125497
SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2024-10-10_424H.htm,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2024-10-10_424H.txt,140120
SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-01-10_424H.htm,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-01-10_424H.txt,177555
SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-03-12_424H.htm,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-03-12_424H.txt,152329
SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-05-14_424H.htm,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-05-14_424H.txt,113082
SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-07-17_424H.htm,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-07-17_424H.txt,157924
